candidate_id,power_state_0_all_day_avg,power_state_0_all_day_std,power_state_1_all_day_avg,power_state_1_all_day_std,power_state_2_all_day_avg,power_state_3_all_day_avg,calls_0_all_day_avg,calls_0_all_day_std,calls_0_all_day_median,calls_0_all_day_common,calls_1_all_day_avg,calls_1_all_day_std,calls_1_all_day_median,calls_1_all_day_common,calls_2_all_day_avg,calls_1_duration_0_all_day_avg,calls_duration_median_all_day_avg,calls_percent_outgoing_all_day_avg,calls_Sall_day_avg,texts_0_all_day_avg,texts_0_all_day_std,texts_1_all_day_avg,texts_1_all_day_std,accelerometer_all_day_avg,accelerometer_all_day_std
19cchoff,103.57142857142857,90.70022388199986,169.19567142619047,124.53083233834059,26.428571428571427,0.17285371233318828,2.4285714285714284,2.9692299558323607,2.0,0,4.857142857142857,7.23934826246853,2.0,2,1.0,1.7142857142857142,101.0,0.38064316635745205,0.02668207812210104,2.4285714285714284,4.06578556307363,0.0,0.0,2.237880352471515e-08,2.343663985169985e-08
2pe2t6si,246.14285714285714,31.466211226958862,368.1705595238095,40.24383630262859,15.428571428571429,0.06157500587453776,9.285714285714286,4.462999814803803,7.0,14,24.0,8.451542547285166,20.0,14,6.428571428571429,9.285714285714286,13.142857142857142,0.6075751062865651,0.10329485391376247,6.285714285714286,4.060762972443398,0.0,0.0,1.057650129336475e-07,7.739243901900856e-08
2ppn81sa,96.71428571428571,38.39536536657326,357.95324047619044,157.64565368395986,16.0,0.16011534666583635,3.2857142857142856,1.8294640678379568,2.0,2,13.142857142857142,9.716386327503972,12.0,0,1.5714285714285714,8.857142857142858,30.357142857142858,0.6235058800848275,0.03615607762308998,11.857142857142858,8.887046294283309,1.5714285714285714,3.45820526768863,0.00020297607887959923,0.00045309328580686635
2yct4nu4,84.85714285714286,22.42083579064394,199.7376880952381,70.2585342287088,9.857142857142858,0.10959382924618802,1.2857142857142858,1.2777531299998799,1.0,0,2.0,1.7728105208558367,2.0,0,0.2857142857142857,0.8571428571428571,13.714285714285714,0.4321428571428572,0.006435700388298549,5.857142857142857,4.940461847368738,0.14285714285714285,0.3499271061118826,5.953492149002873e-08,6.28504672616808e-08
4mhhnq35,138.85714285714286,55.57601890699819,315.4397809523809,103.6942121322637,16.714285714285715,0.11438557173975161,10.285714285714286,5.146823867043378,8.0,8,11.285714285714286,8.119012707647327,9.0,9,1.5714285714285714,5.571428571428571,58.214285714285715,0.4516455066875235,0.0664568186704478,12.714285714285714,10.845858797772747,0.42857142857142855,0.7284313590846835,4.769971567356351e-08,2.2503903589867765e-08
5iwkzjai,47.0,42.811880861008,240.67024285714288,213.41456068393887,5.0,0.05618204177250268,0.42857142857142855,1.049781318335648,0.0,0,3.2857142857142856,5.573259772323188,0.0,0,0.14285714285714285,1.0,384.7857142857143,0.39999999999999997,0.015434010522818878,3.0,3.7416573867739413,1.8571428571428572,4.549052379454475,5.965613403972804e-08,5.652123188537996e-08
6ilaolvn,144.28571428571428,32.19012397665864,341.232230952381,90.08020934469941,11.428571428571429,0.07840436002104705,5.428571428571429,2.9692299558323607,4.0,2,17.714285714285715,14.429278624818812,18.0,18,2.857142857142857,6.428571428571429,54.0,0.6336134453781513,0.09419432192385079,8.0,8.035634920242991,1.1428571428571428,2.415933503612538,2.5240091291902427e-07,3.130241741389512e-07
75nqpmzi,56.142857142857146,19.547952552111227,386.7467523809524,121.45171854653478,1.8571428571428572,0.03292712311070123,1.2857142857142858,1.1605769149479943,1.0,1,1.5714285714285714,1.6781914463529615,1.0,1,0.42857142857142855,0.7142857142857143,233.85714285714286,0.42261904761904756,0.02893364770982654,6.714285714285714,5.062870041905528,0.0,0.0,0.0004782120333799827,0.0011057874034435475
88rmiq3k,40.857142857142854,20.462010594050145,268.3806404761905,93.64801050579959,5.714285714285714,0.11126155026068744,2.5714285714285716,2.8713930346059686,2.0,0,3.4285714285714284,2.610809554642438,4.0,0,0.2857142857142857,1.1428571428571428,89.21428571428571,0.4039615846338535,0.048825205642801996,15.857142857142858,11.993195349608774,0.5714285714285714,1.3997084244475304,2.629178961489725e-05,8.096627024729915e-06
a69zdg9g,26.428571428571427,15.764853701982075,117.49784523809525,138.31965963045178,9.142857142857142,0.330010006701736,2.4285714285714284,2.0603150145508513,3.0,0,2.857142857142857,2.531435020952764,3.0,0,1.0,0.5714285714285714,17.357142857142858,0.37057823129251705,0.035389407730846326,0.14285714285714285,0.34992710611188266,0.0,0.0,4.378578649726315e-06,3.727159547319342e-06
albom4ju,128.14285714285714,17.819961290871632,308.8250880952381,65.38717989871837,4.0,0.03237639839222012,4.0,4.0708019567928595,3.0,1,3.4285714285714284,2.1285234893930483,2.0,2,1.0,1.1428571428571428,60.5,0.4545787545787546,0.04934368545150832,6.285714285714286,5.823947745897002,0.0,0.0,6.957586048034398e-08,5.238402260567801e-08
cdlxsj7x,123.42857142857143,39.802574011729234,379.2027785714286,119.89938316073865,39.142857142857146,0.3044605421364411,2.7142857142857144,2.3123448651769496,2.0,1,7.857142857142857,3.6811710647786073,8.0,3,0.8571428571428571,2.142857142857143,65.85714285714286,0.7004844361987219,0.06056180234879649,9.142857142857142,6.3791753033617455,0.8571428571428571,1.456862718169367,1.4728186214754097e-05,3.1462001412365674e-06
da183aw4,65.57142857142857,20.27565142766877,433.9688714285715,139.50552056605446,3.5714285714285716,0.05664825373743438,2.142857142857143,1.4568627181693672,2.0,2,3.142857142857143,1.6413036132965795,3.0,1,1.1428571428571428,1.2857142857142858,173.28571428571428,0.4777777777777778,0.04167119447285949,12.142857142857142,9.90567761334841,2.5714285714285716,2.3211538298959886,2.752044355038712e-07,1.3245774194679193e-07
h2xtw6aw,111.0,26.32760636941492,251.77987380952382,98.66515412349973,12.857142857142858,0.11429864577114415,5.0,4.69041575982343,3.0,3,7.428571428571429,4.865538961693257,6.0,1,1.8571428571428572,2.2857142857142856,45.357142857142854,0.5105805958747135,0.048332783403440154,5.142857142857143,4.421653583012046,0.0,0.0,4.237472607319639e-08,3.850787660701819e-08
l3vt3omk,66.85714285714286,53.53084176816355,134.2526785714286,53.55477530436709,18.285714285714285,0.20046632361716218,2.5714285714285716,2.1285234893930487,2.0,0,3.5714285714285716,2.9692299558323616,4.0,1,0.5714285714285714,1.2857142857142858,230.57142857142858,0.5008003201280512,0.02884832695243646,5.285714285714286,6.922309394048982,0.0,0.0,1.2681606711013514e-07,1.0937703062338917e-07
pfqeh8er,96.0,41.740696140406115,453.025561904762,157.35253710044594,20.428571428571427,0.21072739411203686,1.5714285714285714,1.178030178747903,2.0,0,3.4285714285714284,4.981598792617913,1.0,0,0.7142857142857143,2.4285714285714284,11.714285714285714,0.35416666666666663,0.006995361472730251,0.0,0.0,0.5714285714285714,1.3997084244475306,9.51309277202677e-05,0.00017511591670412403
r11yxzg4,176.71428571428572,79.46016843266152,442.92810000000003,210.7714752417837,19.142857142857142,0.10363537522228095,10.142857142857142,8.870956969291441,8.0,0,13.0,9.768754855587861,10.0,0,5.714285714285714,5.285714285714286,34.5,0.3967234720122796,0.05342086723146418,20.714285714285715,14.963902143055426,0.14285714285714285,0.3499271061118826,3.463468305865133e-10,5.476402622794948e-10
t847njd4,112.0,58.49297882163783,153.0884476190476,68.30521238109709,12.714285714285714,0.09094809103253088,1.1428571428571428,0.989743318610787,1.0,1,2.7142857142857144,2.657296462534039,1.0,0,0.14285714285714285,1.1428571428571428,38.357142857142854,0.44529478458049887,0.008547978638006591,15.0,7.819389819088006,0.0,0.0,5.8938546076690836e-08,4.210200723318137e-08
wbljpo6k,39.142857142857146,38.12921104211151,146.2503,173.28926201960493,3.7142857142857144,0.06445638364635473,0.42857142857142855,0.7284313590846835,0.0,0,0.5714285714285714,0.4948716593053935,1.0,1,0.14285714285714285,0.2857142857142857,334.0,0.38095238095238093,0.01349807132163262,1.1428571428571428,2.799416848895061,0.0,0.0,3.261312425172169e-08,3.9435535048805433e-08
ygpxrisr,87.42857142857143,30.84457415984278,482.5711166666667,193.78574812814907,22.857142857142858,0.26814895839554026,7.428571428571429,4.2378277069118075,9.0,10,7.571428571428571,3.6589281356759136,8.0,8,2.857142857142857,2.4285714285714284,86.14285714285714,0.45061110568629364,0.07599311124059119,16.714285714285715,10.277774713488542,4.0,8.28078671210825,0.0008955726631174958,0.0021014177709942064
